Pattern Groups For Guesses From The Large Vocabulary Wordslist (14855) Into Wordlebot’s Possible Solutions List  (11/05/2024)											
							
guess	qty	ent min max ave exp p2
adawn	71	3.788	1	1031	44.92	463.93	18,820.19
hooka	76	3.788	1	884	41.96	466.92	17,831.43
wally	80	3.788	1	1068	39.86	486.50	17,803.94
mossy	74	3.788	1	1128	43.10	504.37	19,878.44
nutty	83	3.788	1	1120	38.42	504.76	17,917.42
fitts	80	3.788	1	1171	39.86	530.43	19,555.34
asses	56	3.787	1	648	56.95	341.63	16,211.84
fiefs	69	3.787	1	748	46.22	402.60	16,471.07
igloo	68	3.787	1	935	46.90	435.81	18,238.97
kelly	77	3.787	1	804	41.42	442.57	16,614.09
yoops	70	3.787	1	1104	45.56	493.05	20,386.65
kapas	72	3.787	1	1107	44.29	493.70	19,905.18
sifts	76	3.787	1	1171	41.96	523.73	20,215.35
rebbe	70	3.786	1	980	45.56	447.67	18,319.28
villa	84	3.786	1	913	37.96	457.70	15,935.11
qanat	63	3.786	1	1054	50.62	460.94	20,769.89
bevue	70	3.786	1	1010	45.56	472.65	19,457.13
fugly	89	3.786	1	1232	35.83	568.13	19,073.08
pompa	75	3.785	1	876	42.52	461.63	17,820.70
benne	65	3.785	1	1038	49.06	480.11	21,148.00
kahal	72	3.785	1	1096	44.29	488.01	19,652.82
keech	74	3.785	1	971	43.10	488.34	19,187.79
casks	65	3.785	1	1086	49.06	492.56	21,758.64
lymph	79	3.785	1	1102	40.37	495.89	18,387.98
pomos	78	3.785	1	1195	40.89	547.97	20,731.79
talaq	62	3.784	1	1021	51.44	449.94	20,497.31
besee	67	3.784	1	1010	47.60	460.41	19,648.75
outgo	73	3.784	1	1074	43.69	488.81	19,445.37
pawas	69	3.784	1	1096	46.22	489.48	20,486.29
crick	72	3.784	1	1064	44.29	490.95	19,783.12
ology	74	3.784	1	1125	43.10	504.11	19,867.09
hoody	74	3.784	1	1131	43.10	508.71	20,065.30
aggry	62	3.783	1	833	51.44	406.23	18,248.96
sells	64	3.783	1	830	49.83	434.88	19,186.30
meses	66	3.783	1	980	48.32	448.19	19,321.25
yopos	67	3.782	1	1104	47.60	493.22	21,210.27
didie	73	3.781	1	946	43.69	449.12	17,711.56
runup	72	3.781	1	988	44.29	466.07	18,681.46
scoog	70	3.781	1	1076	45.56	480.55	19,816.82
kufis	73	3.781	1	1086	43.69	492.31	19,597.94
kalam	76	3.781	1	1149	41.96	515.47	19,868.88
spoom	77	3.781	1	1195	41.42	539.56	20,631.02
gumps	82	3.781	1	1200	38.89	548.63	19,824.05
zikrs	61	3.780	1	887	52.28	414.06	18,913.71
nappy	72	3.780	1	958	44.29	440.57	17,551.87
feebs	70	3.780	1	888	45.56	444.24	18,163.05
welly	82	3.780	1	794	38.89	450.85	16,021.32
tanna	74	3.780	1	1066	43.10	476.48	18,676.36
whirr	70	3.780	1	1104	45.56	495.42	20,494.45
husky	84	3.780	1	1194	37.96	541.05	19,099.34
zebus	66	3.779	1	734	48.32	404.79	17,223.88
stews	63	3.779	1	780	50.62	440.93	19,757.16
brook	84	3.779	1	1136	37.96	526.57	18,549.75
chawk	89	3.779	1	1138	35.83	546.41	18,294.66
offed	62	3.778	1	780	51.44	395.13	17,677.89
nexum	71	3.778	1	743	44.92	410.77	16,432.58
zarda	68	3.778	1	928	46.90	421.86	17,584.68
zawns	60	3.778	1	974	53.15	435.02	20,296.63
comic	74	3.778	1	1016	43.10	465.10	18,186.25
baddy	81	3.778	1	1033	39.37	481.70	17,414.55
whata	81	3.778	1	1083	39.37	503.07	18,255.99
moody	72	3.778	1	1201	44.29	545.04	22,178.98
rajas	54	3.777	1	892	59.06	405.71	20,472.16
stobs	65	3.777	1	1018	49.06	458.91	20,107.78
spags	72	3.777	1	1023	44.29	473.13	18,993.87
succi	70	3.777	1	1046	45.56	478.10	19,705.48
hwyls	69	3.777	1	1051	46.22	478.15	19,962.60
chiti	74	3.777	1	1163	43.10	525.39	20,784.41
pinny	81	3.777	1	1193	39.37	538.42	19,647.67
cylix	67	3.776	1	1017	47.60	453.98	19,342.81
gasps	72	3.776	1	1023	44.29	459.81	18,404.10
swots	71	3.776	1	1107	44.92	501.07	20,488.42
agidi	65	3.775	1	859	49.06	425.23	18,455.38
summa	73	3.775	1	948	43.69	473.14	18,760.60
banak	83	3.775	1	1188	38.42	540.61	19,295.06
bulky	86	3.775	1	1221	37.08	560.72	19,417.12
jehus	60	3.774	1	726	53.15	395.07	18,173.26
johns	63	3.774	1	1046	50.62	459.42	20,693.12
modoc	74	3.774	1	1189	43.10	538.47	21,348.19
moops	78	3.774	1	1195	40.89	548.68	20,761.10
coomy	79	3.774	1	1249	40.37	567.49	21,278.41
bobac	75	3.773	1	871	42.52	430.08	16,479.16
typto	75	3.773	1	1036	42.52	473.17	18,311.16
kakis	57	3.772	1	828	55.95	389.61	18,667.49
amiga	86	3.772	1	952	37.08	469.99	16,052.91
zilch	67	3.772	1	1123	47.60	501.80	21,618.66
skits	68	3.772	1	1136	46.90	505.64	21,513.89
gurry	81	3.772	1	1127	39.37	518.58	18,866.58
shuls	80	3.772	1	1164	39.86	531.13	19,583.19
winna	72	3.771	1	908	44.29	469.42	18,829.73
xoana	60	3.770	1	904	53.15	417.11	19,344.66
oddly	72	3.770	1	965	44.29	443.58	17,685.18
skeev	64	3.770	1	995	49.83	456.97	20,287.27
knoll	67	3.770	1	1107	47.60	495.52	21,319.64
quids	63	3.769	1	974	50.62	431.08	19,258.49
chico	82	3.769	1	1029	38.89	491.50	17,602.24
tweet	78	3.769	1	1051	40.89	491.56	18,425.82
makan	77	3.769	1	1155	41.42	522.90	19,940.79
kiosk	58	3.768	1	934	54.98	424.28	20,305.19
skols	64	3.768	1	1041	49.83	469.06	20,889.39
vanda	78	3.768	1	1057	40.89	479.05	17,914.08
junco	73	3.768	1	1088	43.69	492.79	19,619.34
bicky	72	3.768	1	1118	44.29	502.73	20,305.01
gulfy	87	3.768	1	1232	36.66	569.76	19,540.87
dekko	59	3.767	1	740	54.05	387.64	18,030.76
jinne	66	3.767	1	812	48.32	425.65	18,231.79
nucin	77	3.767	1	1123	41.42	504.21	19,166.74
sumis	78	3.767	1	1128	40.89	513.78	19,334.18
sposh	76	3.767	1	1176	41.96	541.24	20,949.96
kerky	55	3.766	1	670	57.98	380.19	18,682.38
yohay	60	3.766	1	768	53.15	386.78	17,732.39
juked	68	3.766	1	879	46.90	421.83	17,583.27
smees	65	3.766	1	980	49.06	456.92	20,009.93
ponzu	63	3.766	1	1087	50.62	478.16	21,641.70
mapau	68	3.766	1	1054	46.90	479.96	20,309.39
cecum	69	3.765	1	802	46.22	452.83	18,792.43
mauzy	71	3.765	1	992	44.92	461.60	18,715.77
cleck	73	3.765	1	823	43.69	467.30	18,505.64
snobs	62	3.765	1	1072	51.44	476.29	21,852.79
hakas	67	3.765	1	1108	47.60	495.93	21,339.37
chili	72	3.765	1	1157	44.29	520.01	21,070.40
vivat	67	3.764	1	874	47.60	418.93	17,674.36
ugged	66	3.764	1	886	48.32	428.18	18,354.25
hashy	64	3.764	1	941	49.83	431.38	19,012.11
leggy	68	3.764	1	784	46.90	433.05	18,109.62
bilbo	74	3.764	1	949	43.10	445.11	17,324.82
midis	73	3.764	1	1057	43.69	480.83	19,096.46
allan	77	3.764	1	1098	41.42	509.83	19,399.54
kokas	57	3.763	1	790	55.95	391.75	18,787.17
axial	72	3.763	1	940	44.29	442.71	17,646.71
scops	73	3.763	1	1086	43.69	490.03	19,498.43
blini	67	3.763	1	1144	47.60	507.26	21,878.69
poddy	77	3.763	1	1142	41.42	514.05	19,574.48
swits	73	3.763	1	1161	43.69	522.61	20,921.83
sooky	68	3.763	1	1173	46.90	523.74	22,362.36
swads	69	3.762	1	964	46.22	452.30	18,768.08
froyo	69	3.762	1	1031	46.22	467.26	19,459.30
afanc	66	3.762	1	1090	48.32	485.59	21,128.37
sotto	74	3.762	1	1194	43.10	538.71	21,358.17
mutts	79	3.762	1	1234	40.37	564.48	21,156.89
dhaba	67	3.761	1	1039	47.60	467.69	19,995.26
mutti	78	3.761	1	1110	40.89	513.10	19,306.38
footy	79	3.761	1	1140	40.37	522.37	19,456.92
ascus	66	3.760	1	894	48.32	420.94	18,004.43
zincy	67	3.760	1	1086	47.60	480.07	20,584.63
haafs	68	3.760	1	1082	46.90	483.77	20,487.89
annat	69	3.760	1	1066	46.22	487.83	20,410.00
tifts	75	3.760	1	1171	42.52	530.25	20,738.22
winky	77	3.760	1	1194	41.42	541.37	20,705.72
curch	81	3.760	1	1144	39.37	545.51	19,926.88
musky	77	3.760	1	1200	41.42	548.43	20,998.14
whack	89	3.760	1	1138	35.83	549.36	18,400.36
pongo	80	3.760	1	1262	39.86	576.12	21,376.47
hucks	84	3.760	1	1261	37.96	583.54	20,712.30
yapps	68	3.759	1	960	46.90	436.71	18,281.18
deeds	73	3.759	1	969	43.69	457.95	18,097.04
bubal	80	3.759	1	978	39.86	478.65	17,491.27
nabam	78	3.759	1	1112	40.89	502.03	18,853.59
bufty	86	3.759	1	1170	37.08	539.60	18,633.98
bumps	76	3.759	1	1193	41.96	544.46	21,085.01
ollav	68	3.758	1	849	46.90	448.39	18,828.74
tippy	74	3.758	1	1084	43.10	489.80	19,250.41
halfa	73	3.758	1	1095	43.69	492.42	19,602.82
socko	74	3.758	1	1183	43.10	533.81	21,146.98
icily	72	3.757	1	1041	44.29	462.01	18,501.37
sudsy	78	3.757	1	1128	40.89	509.38	19,154.28
burry	85	3.757	1	1131	37.52	522.36	18,190.18
gilly	85	3.757	1	1176	37.52	538.89	18,810.25
kapai	70	3.756	1	940	45.56	444.98	18,196.79
coxib	73	3.756	1	1002	43.69	457.68	18,085.42
sansa	75	3.756	1	1099	42.52	490.71	19,056.97
sugos	75	3.756	1	1107	42.52	507.57	19,773.82
zooey	60	3.755	1	675	53.15	386.15	17,699.19
evoke	60	3.755	1	829	53.15	414.19	19,189.03
jebel	68	3.755	1	1014	46.90	462.33	19,482.45
dawah	67	3.755	1	1111	47.60	496.73	21,377.52
furrs	75	3.755	1	1093	42.52	508.67	19,820.57
sippy	77	3.755	1	1133	41.42	509.64	19,391.75
cully	81	3.755	1	1202	39.37	546.37	19,960.70
ekkas	52	3.754	1	690	61.33	368.97	18,867.10
omdda	72	3.754	1	802	44.29	433.07	17,219.82
floss	74	3.754	1	1045	43.10	479.09	18,789.17
husos	79	3.754	1	1085	40.37	497.65	18,459.17
froom	82	3.754	1	1133	38.89	521.89	18,783.98
queyn	50	3.753	1	852	63.78	412.11	22,216.45
hexes	63	3.753	1	944	50.62	433.21	19,366.59
kombi	69	3.753	1	960	46.22	452.72	18,787.62
scabs	63	3.753	1	991	50.62	453.97	20,417.28
wicks	68	3.753	1	1112	46.90	505.19	21,492.39
gamay	76	3.753	1	1177	41.96	538.71	20,843.80
mucks	78	3.753	1	1207	40.89	557.07	21,104.15
niqab	58	3.752	1	854	54.98	411.21	19,586.22
kibei	63	3.752	1	821	50.62	413.14	18,350.49
yarra	68	3.752	1	967	46.90	440.62	18,464.50
lemme	62	3.752	1	982	51.44	457.82	20,902.83
tommy	69	3.752	1	1076	46.22	485.05	20,281.79
gumbo	82	3.752	1	1189	38.89	558.87	20,222.12
quays	51	3.751	1	847	62.53	397.17	20,924.60
nooks	70	3.751	1	1143	45.56	524.25	21,807.70
imino	72	3.750	1	1016	44.29	468.25	18,777.93
snibs	68	3.750	1	1124	46.90	500.32	21,264.18
marra	79	3.750	1	1104	40.37	503.73	18,704.56
plook	77	3.749	1	1195	41.42	548.11	20,985.20
skyey	54	3.748	1	744	59.06	388.28	19,442.53
phlox	69	3.748	1	1068	46.22	487.57	20,398.37
doofs	76	3.748	1	1072	41.96	495.37	19,025.38
pavan	79	3.748	1	1134	40.37	514.52	19,140.18
goody	77	3.748	1	1205	41.42	550.94	21,102.16
yeses	61	3.747	1	834	52.28	399.36	18,145.15
dawds	68	3.747	1	964	46.90	443.63	18,605.56
dixie	68	3.747	1	940	46.90	443.75	18,611.24
hissy	73	3.747	1	1127	43.69	510.35	20,386.05
hulls	74	3.747	1	1164	43.10	531.73	21,057.36
fubsy	80	3.747	1	1202	39.86	549.79	20,326.97
happi	69	3.746	1	850	46.22	418.35	17,198.84
weepy	74	3.746	1	900	43.10	472.17	18,490.87
coqui	57	3.745	1	844	55.95	415.35	20,107.70
annum	72	3.745	1	957	44.29	470.74	18,887.93
brava	71	3.745	1	1058	44.92	486.04	19,813.23
loppy	77	3.745	1	1078	41.42	486.61	18,438.16
knurr	64	3.745	1	1097	49.83	496.14	22,238.80
wombs	65	3.745	1	1110	49.06	503.64	22,302.33
sysop	72	3.745	1	1104	44.29	503.96	20,359.60
sophs	76	3.745	1	1176	41.96	530.43	20,496.54
pogos	75	3.745	1	1162	42.52	531.61	20,796.25
cooks	75	3.745	1	1183	42.52	547.42	21,468.49
wilja	62	3.744	1	850	51.44	423.61	19,143.18
oxims	70	3.743	1	877	45.56	420.07	17,061.76
wadds	67	3.743	1	964	47.60	447.21	19,020.51
slows	69	3.743	1	1067	46.22	483.41	20,206.08
kills	72	3.743	1	1108	44.29	506.37	20,466.15
jawns	63	3.742	1	978	50.62	441.67	19,794.65
expel	70	3.742	1	964	45.56	445.91	18,239.02
ippon	73	3.742	1	976	43.69	461.67	18,259.83
polyp	69	3.742	1	1078	46.22	488.14	20,424.40
skivy	68	3.742	1	1103	46.90	493.30	20,934.83
billy	83	3.742	1	1176	38.42	541.55	19,331.09
mezes	58	3.741	1	948	54.98	437.05	21,007.26
quork	52	3.741	1	993	61.33	452.27	23,975.60
nigga	74	3.741	1	879	43.10	455.10	17,755.00
jucos	66	3.741	1	1003	48.32	459.30	19,858.10
twits	74	3.741	1	1161	43.10	527.28	20,865.79
shops	77	3.741	1	1176	41.42	541.15	20,696.63
yucks	72	3.740	1	1112	44.29	507.88	20,533.15
sessa	57	3.739	1	648	55.95	383.34	18,316.54
staff	63	3.739	1	967	50.62	448.61	20,145.89
tikis	59	3.739	1	1136	54.05	506.84	24,473.78
agaze	64	3.738	1	767	49.83	408.85	17,889.36
emmer	66	3.738	1	940	48.32	438.12	18,834.31
mafia	68	3.738	1	985	46.90	470.13	19,848.36
goops	79	3.738	1	1162	40.37	533.58	19,909.57
gyoza	67	3.737	1	804	47.60	427.81	18,096.81
seeps	71	3.737	1	988	44.92	495.19	20,224.16
nongs	67	3.737	1	1095	47.60	498.95	21,483.23
pinup	77	3.737	1	1155	41.42	518.24	19,747.88
deffo	63	3.736	1	780	50.62	405.08	17,942.36
mesem	63	3.736	1	980	50.62	455.62	20,500.90
nully	74	3.736	1	1151	43.10	523.05	20,683.57
aalii	61	3.735	1	960	52.28	442.07	20,377.81
adaws	64	3.735	1	964	49.83	444.33	19,657.20
tests	71	3.735	1	856	44.92	457.55	18,533.65
gauzy	74	3.735	1	995	43.10	468.03	18,312.63
fills	76	3.735	1	1126	41.96	521.14	20,106.75
hitch	68	3.735	1	1163	46.90	528.20	22,571.86
gloom	78	3.735	1	1210	40.89	556.02	21,061.03
boody	81	3.735	1	1224	39.37	564.65	20,680.31
kirks	59	3.734	1	919	54.05	427.51	20,185.68
bajus	69	3.734	1	931	46.22	431.22	17,793.68
eppie	68	3.734	1	919	46.90	445.67	18,701.18
missy	76	3.734	1	1125	41.96	509.81	19,631.01
howks	74	3.734	1	1178	43.10	539.95	21,411.63
kondo	76	3.734	1	1185	41.96	540.27	20,909.49
aboma	76	3.733	1	928	41.96	465.60	17,776.20
jingo	79	3.733	1	1046	40.37	490.33	18,163.70
fanny	70	3.733	1	1072	45.56	497.43	20,585.85
visas	69	3.732	1	862	46.22	427.41	17,617.82
boxty	69	3.732	1	1067	46.22	486.22	20,335.65
daggy	70	3.731	1	1022	45.56	476.68	19,640.85
durum	69	3.731	1	1053	46.22	490.11	20,515.59
kulfi	75	3.731	1	1069	42.52	497.79	19,358.25
bossy	71	3.731	1	1132	44.92	512.61	21,006.95
zowee	56	3.730	1	913	56.95	411.90	20,213.59
beses	69	3.730	1	1010	46.22	468.53	19,518.23
rosso	66	3.730	1	1030	48.32	478.97	20,808.37
boutu	61	3.730	1	1080	52.28	489.22	22,842.56
hexed	69	3.730	1	1089	46.22	493.05	20,651.65
slums	76	3.730	1	1187	41.96	542.22	20,991.17
sinks	70	3.730	1	1211	45.56	546.56	22,824.33
flump	78	3.730	1	1200	40.89	551.28	20,867.51
homos	78	3.730	1	1206	40.89	556.16	21,066.69
wawls	55	3.729	1	978	57.98	440.19	22,161.07
ahigh	65	3.729	1	903	49.06	459.26	20,125.17
groof	79	3.729	1	1147	40.37	533.45	19,904.51
askos	61	3.728	1	790	52.28	412.93	18,854.14
raffy	66	3.728	1	882	48.32	420.93	18,004.00
nixie	68	3.728	1	819	46.90	427.95	17,870.21
myoma	75	3.728	1	830	42.52	444.32	17,084.68
epene	70	3.728	1	979	45.56	459.34	18,850.96
gongs	67	3.728	1	1095	47.60	500.55	21,559.08
ships	81	3.728	1	1235	39.37	567.43	20,789.81
whoot	83	3.728	1	1265	38.42	589.81	21,185.23
added	62	3.727	1	782	51.44	400.13	17,935.41
blobs	72	3.727	1	1015	44.29	470.46	18,875.73
kiack	60	3.726	1	951	53.15	454.07	21,308.76
jongs	64	3.726	1	1076	49.83	488.55	21,860.86
wooly	75	3.726	1	1176	42.52	542.30	21,250.62
acock	66	3.725	1	895	48.32	457.66	19,778.73
uprun	73	3.725	1	988	43.69	460.86	18,224.13
cyclo	67	3.725	1	1018	47.60	465.45	19,888.54
jivey	66	3.724	1	721	48.32	388.25	16,424.85
skeds	59	3.724	1	849	54.05	436.97	20,697.13
jupon	71	3.724	1	1107	44.92	502.05	20,532.39
musos	78	3.724	1	1114	40.89	517.55	19,488.28
abaft	65	3.722	1	1101	49.06	496.61	21,957.23
halwa	71	3.722	1	1103	44.92	498.98	20,394.67
amban	78	3.722	1	1112	40.89	521.24	19,639.23
mulls	76	3.722	1	1187	41.96	551.55	21,382.59
funks	74	3.722	1	1209	43.10	558.45	22,209.14
nduja	62	3.721	1	797	51.44	407.54	18,316.44
mikva	72	3.721	1	919	44.29	474.17	19,040.18
zizel	51	3.720	1	780	62.53	381.51	19,945.50
mecum	71	3.720	1	802	44.92	458.99	18,598.47
khana	73	3.720	1	1115	43.69	520.00	20,807.75
hilch	65	3.720	1	1157	49.06	525.97	23,397.97
forgo	81	3.720	1	1147	39.37	533.97	19,472.60
tight	72	3.720	1	1207	44.29	546.68	22,251.71
gunky	72	3.720	1	1305	44.29	607.45	24,943.21
dumky	76	3.719	1	1211	41.96	554.65	21,512.64
putty	79	3.719	1	1243	40.37	573.67	21,528.06
humpy	85	3.719	1	1251	37.52	577.01	20,240.44
bodoh	78	3.719	1	1251	40.89	577.21	21,927.61
isbas	64	3.718	1	772	49.83	403.49	17,622.36
usury	61	3.718	1	915	52.28	445.27	20,544.92
mahua	69	3.718	1	1045	46.22	484.91	20,275.42
mawla	69	3.718	1	1148	46.22	523.45	22,056.63
cinch	77	3.718	1	1250	41.42	574.50	22,077.98
opepe	64	3.717	1	830	49.83	423.31	18,610.05
gadgy	71	3.717	1	1022	44.92	479.39	19,514.67
bidis	69	3.717	1	1076	46.22	496.55	20,813.39
foods	73	3.717	1	1072	43.69	501.66	20,006.76
fulla	79	3.717	1	995	40.37	504.26	18,725.90
wills	74	3.717	1	1118	43.10	515.76	20,369.41
looky	72	3.716	1	1156	44.29	527.98	21,423.37
knubs	72	3.716	1	1166	44.29	539.80	21,946.98
vacas	65	3.715	1	1090	49.06	495.79	21,917.01
fists	76	3.715	1	1171	41.96	534.66	20,673.91
bloom	88	3.715	1	1240	36.24	576.98	19,595.61
kanji	64	3.714	1	895	49.83	429.28	18,907.14
flaxy	64	3.714	1	1047	49.83	481.59	21,513.80
weeks	73	3.714	1	957	43.69	489.62	19,480.79
mawky	69	3.714	1	1099	46.22	509.84	21,427.53
meeja	56	3.713	1	771	56.95	418.54	20,591.62
weize	63	3.713	1	984	50.62	452.35	20,335.35
ovoid	77	3.713	1	1101	41.42	505.23	19,209.00
stush	81	3.713	1	1274	39.37	599.47	22,051.20
maumy	72	3.712	1	1012	44.29	478.77	19,243.79
fichu	71	3.712	1	1121	44.92	509.45	20,864.81
wimpy	70	3.712	1	1182	45.56	540.68	22,556.50
couch	83	3.712	1	1218	38.42	564.06	20,196.03
snush	76	3.712	1	1246	41.96	579.95	22,574.43
bafta	71	3.711	1	1101	44.92	506.55	20,734.33
pakay	71	3.711	1	1176	44.92	540.55	22,261.57
dunny	70	3.711	1	1200	45.56	550.18	22,989.19
queys	47	3.710	1	836	67.85	411.26	23,300.47
quipo	55	3.710	1	868	57.98	424.21	21,234.56
shook	79	3.710	1	1259	40.37	583.23	21,913.98
sexts	57	3.709	1	842	55.95	443.54	21,684.86
acmic	68	3.709	1	883	46.90	449.21	18,867.09
idyll	70	3.709	1	1011	45.56	465.10	19,113.39
ofuro	62	3.709	1	1022	51.44	473.55	21,711.54
pavas	69	3.709	1	1126	46.22	513.89	21,614.63
visit	70	3.709	1	1195	45.56	545.72	22,786.19
bonny	75	3.709	1	1215	42.52	555.65	21,818.20
smuts	77	3.709	1	1234	41.42	570.71	21,921.05
xerox	47	3.708	1	707	67.85	362.29	19,978.21
yexes	55	3.708	1	818	57.98	392.16	19,376.13
exome	64	3.708	1	851	49.83	422.20	18,554.52
idiom	65	3.708	1	994	49.06	451.33	19,736.00
kamas	68	3.708	1	1128	46.90	513.09	21,863.09
barra	80	3.708	1	1124	39.86	518.73	19,088.92
shuns	75	3.708	1	1246	42.52	573.02	22,557.02
aflap	64	3.707	1	1093	49.83	506.64	22,762.14
purpy	78	3.707	1	1076	40.89	514.37	19,358.13
boyos	71	3.707	1	1132	44.92	523.35	21,488.98
hinny	78	3.707	1	1178	40.89	538.33	20,337.67
lotto	73	3.706	1	1121	43.69	515.09	20,593.20
kists	65	3.705	1	1136	49.06	512.22	22,723.20
namak	73	3.705	1	1155	43.69	530.34	21,259.31
busky	77	3.705	1	1225	41.42	571.69	21,961.70
emmet	65	3.704	1	946	49.06	447.01	19,523.84
butts	76	3.704	1	1246	41.96	579.10	22,538.64
kebab	64	3.703	1	702	49.83	412.90	18,091.27
quirk	56	3.703	1	973	56.95	450.20	22,394.44
imlis	72	3.703	1	1027	44.29	473.84	19,025.32
zygal	68	3.703	1	1011	46.90	477.89	20,212.42
mazar	67	3.703	1	1076	47.60	494.25	21,259.52
ilium	67	3.702	1	1105	47.60	496.81	21,381.17
tombo	83	3.702	1	1174	38.42	542.93	19,384.08
chocs	79	3.702	1	1160	40.37	545.54	20,392.31
likin	72	3.702	1	1195	44.29	548.59	22,336.15
mekka	57	3.701	1	678	55.95	410.07	19,812.26
babus	71	3.701	1	947	44.92	443.37	17,896.92
agami	76	3.701	1	952	41.96	461.94	17,622.59
dsobo	67	3.701	1	1041	47.60	484.98	20,818.27
phish	71	3.701	1	1235	44.92	569.60	23,566.42
ozeki	52	3.700	1	643	61.33	364.46	18,590.14
souks	66	3.700	1	1159	48.32	529.32	23,241.13
woods	77	3.700	1	1125	41.42	531.27	20,287.62
sunup	75	3.700	1	1244	42.52	570.25	22,438.89
whomp	80	3.700	1	1241	39.86	576.71	21,399.89
juves	57	3.699	1	817	55.95	408.66	19,733.56
begob	71	3.699	1	767	44.92	440.80	17,781.34
gugas	72	3.699	1	946	44.29	467.63	18,750.54
makai	64	3.699	1	976	49.83	471.55	21,013.49
unman	76	3.699	1	957	41.96	474.22	18,137.85
blurb	75	3.699	1	972	42.52	475.17	18,396.33
jello	60	3.698	1	702	53.15	406.40	18,775.46
wahoo	68	3.698	1	930	46.90	449.50	18,881.06
quags	62	3.698	1	946	51.44	452.21	20,614.25
fenny	70	3.698	1	892	45.56	481.78	19,873.22
dadla	69	3.698	1	1118	46.22	506.57	21,276.29
surfs	72	3.698	1	1093	44.29	516.11	20,897.40
mooch	83	3.698	1	1365	38.42	647.15	23,388.29
xysti	56	3.697	1	948	56.95	434.58	21,504.76
legge	68	3.697	1	1017	46.90	483.74	20,486.83
skuas	68	3.697	1	998	46.90	492.71	20,907.15
cacks	60	3.697	1	1086	53.15	505.27	24,030.23
calla	76	3.697	1	1214	41.96	559.25	21,705.75
bucks	73	3.697	1	1220	43.69	573.58	23,148.63
kibbe	62	3.696	1	821	51.44	434.15	19,684.86
innie	65	3.696	1	824	49.06	441.31	19,244.55
afoam	69	3.696	1	931	46.22	457.30	18,999.33
weete	62	3.696	1	1051	51.44	486.54	22,380.05
cuppa	73	3.696	1	992	43.69	504.23	20,118.96
poohy	79	3.696	1	1249	40.37	576.47	21,640.99
akoya	56	3.695	1	840	56.95	421.76	20,774.76
occam	72	3.694	1	866	44.29	450.43	17,988.62
imido	65	3.694	1	994	49.06	463.92	20,353.41
lisks	70	3.694	1	1108	45.56	506.37	20,993.25
umphs	71	3.694	1	1199	44.92	548.79	22,631.65
slugs	76	3.694	1	1204	41.96	555.75	21,558.85
texts	66	3.693	1	842	48.32	448.05	19,314.49
gurus	77	3.693	1	1021	41.42	493.63	18,728.79
baccy	74	3.693	1	1080	43.10	503.48	19,840.14
coofs	74	3.693	1	1151	43.10	536.33	21,255.76
munja	74	3.692	1	943	43.10	483.04	18,959.41
memes	57	3.691	1	980	55.95	458.87	22,542.40
pujah	64	3.691	1	963	49.83	481.81	21,524.74
havan	75	3.691	1	1148	42.52	524.69	20,501.69
soots	69	3.691	1	1194	46.22	548.29	23,204.69
gucks	67	3.691	1	1182	47.60	549.63	23,895.35
soggy	61	3.690	1	1109	52.28	499.29	23,369.41
vying	75	3.690	1	1186	42.52	542.30	21,250.46
qapik	61	3.689	1	931	52.28	448.09	20,692.66
takky	59	3.688	1	976	54.05	451.12	21,461.78
comms	71	3.688	1	1111	44.92	514.36	21,085.34
hogos	75	3.688	1	1188	42.52	550.37	21,593.93
wenny	75	3.687	1	871	42.52	484.26	18,782.81
toots	77	3.687	1	1194	41.42	552.40	21,162.53
moong	81	3.687	1	1322	39.37	620.44	22,876.97
bezes	63	3.686	1	980	50.62	459.03	20,673.28
thoft	75	3.686	1	1221	42.52	568.38	22,359.64
enfix	72	3.685	1	859	44.29	462.90	18,540.82
malwa	70	3.685	1	1148	45.56	526.33	21,902.42
mohos	77	3.685	1	1206	41.42	560.27	21,488.71
jauks	63	3.684	1	985	50.62	458.61	20,652.14
gawky	64	3.684	1	1099	49.83	513.57	23,107.14
novio	75	3.684	1	1131	42.52	523.90	20,468.36
anata	61	3.683	1	1066	52.28	485.10	22,627.55
lippy	75	3.683	1	1127	42.52	516.93	20,171.82
mzees	53	3.682	1	948	60.17	451.67	23,556.29
epees	63	3.682	1	988	50.62	467.12	21,082.90
usurp	70	3.682	1	1011	45.56	484.70	20,006.05
feese	63	3.682	1	1049	50.62	490.11	22,246.78
musts	80	3.682	1	1234	39.86	574.42	21,308.69
ommin	72	3.681	1	1016	44.29	486.71	19,595.57
poyou	62	3.681	1	1179	51.44	535.06	24,875.41
plups	78	3.681	1	1184	40.89	553.23	20,947.10
spook	72	3.681	1	1230	44.29	571.96	23,371.32
imaum	68	3.680	1	718	46.90	406.42	16,860.56
attas	68	3.680	1	1081	46.90	500.75	21,284.39
zings	65	3.680	1	1118	49.06	512.63	22,743.50
wilis	64	3.680	1	1118	49.83	516.26	23,241.20
abask	70	3.680	1	1132	45.56	525.43	21,861.85
minny	74	3.680	1	1224	43.10	563.21	22,414.00
maqui	57	3.679	1	718	55.95	401.18	19,314.68
naans	65	3.679	1	1099	49.06	497.32	21,992.40
quops	58	3.679	1	1085	54.98	498.32	24,376.12
wists	68	3.679	1	1161	46.90	529.75	22,644.42
howfs	70	3.679	1	1166	45.56	538.84	22,472.73
